Provider_ID,Provider_Name,Specialty,Experience_Years
PR455,Provider_701,Emergency Medicine,29.0
PR414,Provider_702,Cardiology,5.0
PR036,Provider_703,Emergency Medicine,27.0
PR083,Provider_704,Orthopedics,23.0
PR154,Provider_705,Orthopedics,1.0
PR375,Provider_706,Dermatology,4.0
PR285,Provider_707,Emergency Medicine,22.0
PR145,Provider_708,Emergency Medicine,2.0
PR063,Provider_709,Emergency Medicine,10.0
PR345,Provider_710,Oncology,5.0
PR350,Provider_711,Pediatrics,27.0
PR472,Provider_712,Cardiology,10.0
PR251,Provider_713,Dermatology,1.0
PR247,Provider_714,Emergency Medicine,22.0
PR041,Provider_715,Emergency Medicine,6.0
PR020,Provider_716,General Practice,13.0
PR217,Provider_717,Dermatology,15.0
PR162,Provider_718,Emergency Medicine,4.0
PR126,Provider_719,Dermatology,13.0
PR046,Provider_720,Pediatrics,24.0
PR481,Provider_721,,20.0
PR418,Provider_722,Dermatology,24.0
PR288,Provider_723,Cardiology,15.0
PR476,Provider_724,Cardiology,29.0
PR500,Provider_725,Orthopedics,8.0
PR337,Provider_726,General Practice,5.0
PR135,Provider_727,General Practice,29.0
PR021,Provider_728,Orthopedics,15.0
PR379,Provider_729,Dermatology,4.0
PR236,Provider_730,General Practice,12.0
PR326,Provider_731,Cardiology,13.0
PR459,Provider_732,Cardiology,2.0
PR091,Provider_733,,27.0
PR293,Provider_734,Pediatrics,19.0
PR318,Provider_735,General Practice,19.0
PR246,Provider_736,Dermatology,4.0
PR046,Provider_737,Orthopedics,4.0
PR174,Provider_738,Orthopedics,26.0
PR167,Provider_739,Dermatology,11.0
PR336,Provider_740,Oncology,27.0
PR429,Provider_741,Neurology,5.0
PR165,Provider_742,Pediatrics,20.0
PR347,Provider_743,Orthopedics,11.0
PR145,Provider_744,General Practice,10.0
PR473,Provider_745,Pediatrics,8.0
PR407,Provider_746,General Practice,6.0
PR276,Provider_747,Oncology,6.0
PR228,Provider_748,Cardiology,8.0
PR158,Provider_749,Pediatrics,23.0
